date,id,n1,n2,n3,n4,n5,n6
2017-07-09,152,1,9,14,18,25,28
2017-07-12,153,5,9,14,15,26,42
2017-07-14,154,2,13,19,24,25,33
2017-07-16,155,2,10,27,29,37,39
2017-07-19,156,4,7,13,20,35,44
2017-07-21,157,5,6,9,15,19,32
2017-07-23,158,7,9,13,21,28,39
2017-07-26,159,9,26,27,30,40,44
2017-07-28,160,1,4,9,26,35,39
2017-07-30,161,8,17,24,35,41,44
2017-08-02,162,7,10,17,26,28,43
2017-08-04,163,3,12,13,23,26,37
2017-08-06,164,2,9,10,11,21,43
2017-08-09,165,11,19,22,24,25,31
2017-08-11,166,1,12,19,35,36,41
2017-08-13,167,1,3,6,7,16,18
2017-08-16,168,6,11,15,19,22,41
2017-08-18,169,3,4,18,22,34,37
2017-08-20,170,5,15,18,21,37,45
2017-08-23,171,6,25,27,34,42,43
2017-08-25,172,2,7,12,27,40,44
2017-08-27,173,3,7,16,32,36,39
2017-08-30,174,5,8,11,28,35,41
2017-09-01,175,9,10,13,19,23,41
2017-09-03,176,5,6,26,28,35,43
2017-09-06,177,5,20,24,32,36,42
2017-09-08,178,2,15,17,32,41,44
2017-09-10,179,1,22,23,35,36,42
2017-09-13,180,3,8,19,35,38,40
2017-09-15,181,3,24,35,37,40,43
2017-09-17,182,6,11,15,16,37,40
2017-09-20,183,5,7,13,17,23,33
2017-09-22,184,5,16,21,31,37,41
2017-09-24,185,4,10,11,31,36,39
2017-09-27,186,10,19,33,34,35,45
2017-09-29,187,23,28,30,35,37,42
2017-10-01,188,8,23,27,36,37,43
2017-10-04,189,4,5,9,19,37,44
2017-10-06,190,4,6,18,20,30,45
2017-10-08,191,8,16,24,27,35,39
2017-10-11,192,4,11,14,15,19,26
2017-10-13,193,10,13,20,21,25,36
2017-10-15,194,2,9,14,21,35,40
2017-10-18,195,16,24,32,36,37,40
2017-10-20,196,2,18,25,33,36,42
2017-10-22,197,8,14,16,17,31,42
2017-10-25,198,12,17,23,25,34,38
2017-10-27,199,4,10,13,21,22,38
2017-10-29,200,1,5,28,31,44,45
2017-11-01,201,4,12,25,39,42,44
2017-11-03,202,7,17,20,22,29,44
2017-11-05,203,3,17,38,39,41,44
2017-11-08,204,1,18,23,24,40,41
2017-11-10,205,1,4,19,21,24,35
2017-11-12,206,22,26,37,40,42,44
2017-11-15,207,1,9,15,27,33,43
2017-11-17,208,11,13,18,19,31,45
2017-11-19,209,14,20,30,33,41,43
2017-11-22,210,5,6,9,23,27,35
2017-11-24,211,14,24,32,34,36,45
2017-11-26,212,4,12,17,19,23,34
2017-11-29,213,19,23,26,37,38,41
2017-12-01,214,10,19,30,35,39,45
2017-12-03,215,8,9,15,18,27,30
2017-12-06,216,3,7,29,31,34,43
2017-12-08,217,2,11,15,32,40,44
2017-12-10,218,27,36,39,43,44,45
2017-12-13,219,4,7,19,24,32,38
2017-12-15,220,13,14,17,24,28,43
2017-12-17,221,4,7,16,27,40,41
2017-12-20,222,3,8,25,37,40,42
2017-12-22,223,9,13,17,22,26,33
2017-12-24,224,1,5,9,14,30,31
2017-12-27,225,9,13,19,21,27,30
2017-12-29,226,2,8,17,20,29,39
2017-12-31,227,3,13,14,26,30,34
2018-01-03,228,8,14,19,30,33,35
2018-01-05,229,19,30,34,38,42,44
2018-01-07,230,4,6,11,13,24,31
